name	type_id	id	lat	lng	page
故宫	3	3474	39.916698	116.397185	1
颐和园	3	3557	39.992408	116.27511189815	1
八达岭长城	3	3519	40.356172	116.016802	1
天安门广场	3	3498	39.903756	116.397693	1
天坛公园	3	3503	39.883693	116.41282	1
圆明园	3	6427	40.009143	116.300442	1
南锣鼓巷	3	3511	39.937295	116.40319	1
北京798艺术区	3	21100	39.985043669153	116.49457381349	1
恭王府	3	3506	39.937195	116.386301	1
北海公园	3	3812	39.928606890749	116.39174725201	1
景山公园	3	3562	39.925838772316	116.39675990675	1
慕田峪长城	3	3563	40.43086	116.564036	1
什刹海	3	3472	39.941836	116.385311	1
鸟巢	3	10123	39.992971922885	116.39651574488	1
雍和宫	3	3516	39.947259	116.417301	1
古北水镇	3	7731162	40.653669	117.276271	2
清华大学	3	3746	40.003649	116.326831	2
北京大学	3	3745	39.992799	116.310868	2
前门大街	3	10220	39.898035	116.397983	2
护国寺小吃(护国寺总店)	1	21539	39.935091	116.374812	2
中国国家博物馆	3	34665	39.905397	116.401391	2
北京动物园	3	3466	39.942121	116.336538	2
香山公园	3	3936	39.990246	116.189141	2
北京全聚德(前门店)	1	3759	39.896591	116.398311	2
玉渊潭公园	3	4430	39.916619	116.319866	2
孔庙和国子监	3	3517	39.946793	116.413206	2
奥林匹克森林公园	3	77946	40.015006	116.392526	2
水立方	3	10124	39.992827	116.390376	2
北京欢乐谷	3	3560	39.867767	116.494807	2
北京植物园	3	3731	39.994664	116.213107	2
烟袋斜街	3	3499	39.939299	116.395628	3
聚宝源(牛街北口店)	1	21536	39.886772	116.363283	3
地坛公园	3	3526	39.953664	116.41485	3
五道营胡同	3	4089	39.948356	116.410092	3
明十三陵	3	3553	40.257543	116.22524	3
姚记炒肝店(鼓楼店)	1	3920	39.940926	116.396828	3
北京野生动物园	3	890032	39.496202	116.335573	3
文宇奶酪店(南锣鼓巷店)	1	4029	39.938691	116.403112	3
首都博物馆	3	4261	39.906472	116.342121	3
北京大观园	3	6731	39.871356086042	116.35598048099	3
世界公园	5	4154	39.810361	116.287986	3
房山十渡风景名胜区	3	4119	39.638241	115.599737	3
四季民福烤鸭店(前门廊坊二条店)	1	6947012	39.897044	116.39744	3
潭柘寺	3	6910	39.903207	116.030636	3
胡大饭馆(簋街总店)	1	847091	39.941127	116.419539	3
居庸关长城	3	4163	40.289422	116.075053	4
王府井小吃街	1	3512	39.911337	116.410625	4
爨底下	3	4131	39.972346	115.666665	4
四季民福烤鸭店(故宫店)	1	22323574	39.91459	116.402891	4
东来顺饭庄(王府井店)	1	3550	39.910914	116.411403	4
灵山名胜风景区	3	3481	40.016693	115.49437	4
红螺寺	3	5156	40.383987	116.626045	4
喇叭沟原始森林风景区	3	6916	40.959797381406	116.489487	4
全聚德(和平门店)	1	10219	39.899371	116.385567	4
八大处公园	3	3751	39.962222	116.182754	4
东交民巷	3	21315	39.902567	116.408773	4
云蒙山森林公园	3	3490	40.586663	116.682023	4
北京自然博物馆	3	862884	39.883092	116.399795	4
